"","row_index","exclusion_notes","exclusion_date"
"1",661,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"2",667,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"3",668,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"4",776,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"5",1104,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"6",1149,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"7",1306,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"8",1417,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"9",1418,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"10",1432,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"11",2619,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"12",2642,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"13",2743,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"14",2744,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"15",3914,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"16",4289,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"17",4601,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"18",4940,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"19",6113,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"20",6114,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"21",6168,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"22",6433,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"23",6791,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"24",6847,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"25",6867,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"26",6868,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"27",6869,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"28",6870,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"29",7762,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"30",7768,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"31",7781,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"32",7919,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"33",8870,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"34",9743,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"35",9744,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"36",9745,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"37",9746,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"38",9760,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"39",9761,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"40",9762,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"41",9843,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"42",10706,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"43",10901,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"44",10902,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"45",11178,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"46",11203,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"47",11452,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"48",11848,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"49",12147,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"50",12619,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"51",12708,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"52",12762,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"53",12768,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"54",13952,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"55",14642,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"56",16228,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"57",16349,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"58",16669,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"59",16850,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"60",16856,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"61",16857,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"62",17153,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"63",17449,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"64",17455,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"65",17851,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
