"","row_index","species3","family3","order3","total.individuals","female","male","unknown","complete.measures","beak.length_culmen","beak.length_nares","beak.width","beak.depth","tarsus.length","wing.length","kipps.distance","secondary1","hand-wing.index","tail.length","mass","mass.source","mass.refs.other","inference","traits.inferred","reference.species","habitat","habitat.density","migration","trophic.level","trophic.niche","primary.lifestyle","min.latitude","max.latitude","centroid.latitude","centroid.longitude","range.size","species.status"
"1",1,"Accipiter albogularis","Accipitridae","Accipitriformes",5,2,0,3,4,27.7,17.8,10.6,14.7,62,235.2,81.8,159.5,33.9,169,248.75,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Insessorial",-11.73,-4.02,-8.15,158.4937652,37461.21,"Extant"
"2",2,"Accipiter badius","Accipitridae","Accipitriformes",10,4,6,0,8,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.15,"Dunning",NA,"NO",NA,NA,"Shrubland","2","3","Carnivore","Vertivore","Insessorial",-29.47,46.39,8.23,44.9824639,22374973,"Extant"
"3",3,"Accipiter bicolor","Accipitridae","Accipitriformes",6,2,2,2,4,26.5,14.8,9.2,13.5,57.5,231.8,46.4,189.6,19.8,188.4,287.54,"Dunning",NA,"NO",NA,NA,"Woodland","2","2","Carnivore","Vertivore","Generalist",NA,NA,NA,NA,NA,"Extant"
"4",4,"Accipiter brachyurus","Accipitridae","Accipitriformes",4,4,0,0,3,22.5,14,8.9,11.9,61.2,202.2,64.1,138.1,31.7,140.8,142,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Insessorial",-6.31,-4.08,-5.45,150.6813141,35580.71,"Extant"
"5",5,"Accipiter brevipes","Accipitridae","Accipitriformes",8,4,4,0,4,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.48,"Dunning",NA,"NO",NA,NA,"Forest","1","3","Carnivore","Vertivore","Generalist",31.19,55.86,45.24,45.32734013,2936751.8,"Extant"
"6",6,"Accipiter butleri","Accipitridae","Accipitriformes",1,0,1,0,1,20,11.9,6.6,12,48.7,166,42.9,123.1,25.8,127,122,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial",7.87,9.26,8.42,93.1709817,327.84,"Extant"
"7",7,"Accipiter castanilius","Accipitridae","Accipitriformes",6,2,2,2,4,20.5,11.5,8.3,10.9,52.6,163.5,38.9,123.1,24,135.4,157.51,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Insessorial",-10.36,10.12,0.71,18.29072711,2096401.63,"Extant"
"8",8,"Accipiter chilensis","Accipitridae","Accipitriformes",5,2,3,0,4,23.2,12.6,8,11.8,58.8,227,69.2,156.2,30.6,183.8,368,"Dunning",NA,"NO",NA,NA,"Woodland","2","2","Carnivore","Vertivore","Generalist",NA,NA,NA,NA,NA,"Extant"
"9",9,"Accipiter chionogaster","Accipitridae","Accipitriformes",6,2,3,1,4,18.2,10.5,7.5,9.7,51.8,181,60.5,124.2,32.7,137,130.6,"Inferred",NA,"YES","Body Mass","Accipiter striatus","Forest","1","3","Carnivore","Vertivore","Generalist",NA,NA,NA,NA,NA,"Extant"
"10",10,"Accipiter cirrocephalus","Accipitridae","Accipitriformes",5,2,3,0,4,19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,37.8,155.4,165.73,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Generalist",-43.64,0.04,-23.36,137.8119749,5488639.45,"Extant"
