"","row_index","species2","family2","order2","avibase.id2","total.individuals","female","male","unknown","complete.measures","beak.length_culmen","beak.length_nares","beak.width","beak.depth","tarsus.length","wing.length","kipps.distance","secondary1","hand-wing.index","tail.length","mass","mass.source","mass.refs.other","inference","traits.inferred","reference.species","habitat","habitat.density","migration","trophic.level","trophic.niche","primary.lifestyle"
"1",1,"Accipiter albogularis","Accipitridae","Accipitriformes","AVIBASE-BBB59880",5,2,0,3,4,27.7,17.8,10.6,14.7,62,235.2,81.8,159.5,33.9,169,248.8,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Insessorial"
"2",2,"Accipiter badius","Accipitridae","Accipitriformes","AVIBASE-1A0ECB6E",10,4,6,0,8,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.2,"Dunning",NA,"NO",NA,NA,"Shrubland","2","3","Carnivore","Vertivore","Insessorial"
"3",3,"Accipiter bicolor","Accipitridae","Accipitriformes","AVIBASE-ADBE44E1",11,4,5,2,8,25,13.7,8.6,12.7,58.1,229.6,56.6,174.8,24.6,186.3,287.5,"Dunning",NA,"NO",NA,NA,"Woodland","2","2","Carnivore","Vertivore","Generalist"
"4",4,"Accipiter brachyurus","Accipitridae","Accipitriformes","AVIBASE-68BF920B",4,4,0,0,3,22.5,14,8.9,11.9,61.2,202.2,64.1,138.1,31.7,140.8,142,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Insessorial"
"5",5,"Accipiter brevipes","Accipitridae","Accipitriformes","AVIBASE-8492E4B7",8,4,4,0,4,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.5,"Dunning",NA,"NO",NA,NA,"Forest","1","3","Carnivore","Vertivore","Generalist"
"6",6,"Accipiter butleri","Accipitridae","Accipitriformes","AVIBASE-6B64C150",1,0,1,0,1,20,11.9,6.6,12,48.7,166,42.9,123.1,25.8,127,122,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"7",7,"Accipiter castanilius","Accipitridae","Accipitriformes","AVIBASE-9D80E72A",6,2,2,2,4,20.5,11.5,8.3,10.9,52.6,163.5,38.9,123.1,24,135.4,157.5,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Insessorial"
"8",8,"Accipiter cirrocephalus","Accipitridae","Accipitriformes","AVIBASE-21957C95",5,2,3,0,4,19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,37.8,155.4,165.7,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Generalist"
"9",9,"Accipiter collaris","Accipitridae","Accipitriformes","AVIBASE-32760AD5",7,1,5,1,6,20,11.2,8.6,11,43.6,165.9,49.5,115.2,30,125,97.8,"Updated_literature","BoW","NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Insessorial"
"10",10,"Accipiter cooperii","Accipitridae","Accipitriformes","AVIBASE-EB98812F",5,2,3,0,4,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.7,"Dunning",NA,"NO",NA,NA,"Woodland","2","3","Carnivore","Vertivore","Aerial"
"11",11,"Accipiter erythrauchen","Accipitridae","Accipitriformes","AVIBASE-950C5048",4,3,1,0,4,21.1,12.2,8.6,11.2,59.5,191.2,58.9,132.4,30.8,154.8,156,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Generalist"
"12",12,"Accipiter erythropus","Accipitridae","Accipitriformes","AVIBASE-AFD19C47",5,2,3,0,4,17.6,9.7,7.2,9.6,43,154.6,40.9,110.1,27.1,104.4,111.2,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"13",13,"Accipiter fasciatus","Accipitridae","Accipitriformes","AVIBASE-8257AE54",11,8,3,0,9,28.5,19.1,11.2,15.2,71.9,269.9,103.6,167.3,38.3,206,358.7,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Generalist"
"14",14,"Accipiter francesiae","Accipitridae","Accipitriformes","AVIBASE-0307D245",10,2,8,0,9,20.2,13.1,8.7,10.7,48.1,155.8,43.2,112.8,27.8,127.5,136.8,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Invertivore","Insessorial"
"15",15,"Accipiter gentilis","Accipitridae","Accipitriformes","AVIBASE-420850D6",8,4,4,0,4,33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Generalist"
"16",16,"Accipiter griseiceps","Accipitridae","Accipitriformes","AVIBASE-4C2DBB2A",4,3,1,0,3,24.1,14.6,8.8,12.4,52,187.2,50,137.3,26.8,141.2,251.8,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"17",17,"Accipiter gularis","Accipitridae","Accipitriformes","AVIBASE-797C9090",5,0,4,1,4,23.3,9.5,6.6,9.1,43.6,162.6,54.2,109,33.2,106.4,120.7,"Dunning",NA,"NO",NA,NA,"Forest","1","3","Carnivore","Vertivore","Insessorial"
"18",18,"Accipiter gundlachi","Accipitridae","Accipitriformes","AVIBASE-0EDF5A1C",1,0,1,0,1,26,15.2,8.3,16.3,71.3,228,61.8,166.2,27.1,223,675,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Aerial"
"19",19,"Accipiter haplochrous","Accipitridae","Accipitriformes","AVIBASE-18B4CE02",4,3,1,0,4,23.7,13.9,9.6,13.2,58.9,227.8,74.5,153.2,32.7,155,198.4,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"20",20,"Accipiter henicogrammus","Accipitridae","Accipitriformes","AVIBASE-9288286D",5,2,3,0,4,27.9,15.9,10,13.6,65.1,230.2,72,160.5,31.1,190,358.7,"Inferred",NA,"YES","Body Mass","Accipiter fasciatus","Forest","1","1","Carnivore","Vertivore","Insessorial"
"21",21,"Accipiter henstii","Accipitridae","Accipitriformes","AVIBASE-05701150",4,2,2,0,4,32.6,18.1,11.8,17.2,75,290.5,78,212.5,27,245,1050,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"22",22,"Accipiter hiogaster","Accipitridae","Accipitriformes","AVIBASE-A4AAB528",6,4,2,0,6,26,15.6,9.3,13.6,52.2,200.3,62.5,137.8,31.2,140,326.1,"DataFromSplit",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"23",23,"Accipiter imitator","Accipitridae","Accipitriformes","AVIBASE-466CC533",1,1,0,0,1,26.4,16.8,9.1,12.2,49.6,200,60,140,30,161,222.5,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"24",24,"Accipiter luteoschistaceus","Accipitridae","Accipitriformes","AVIBASE-EA787A01",1,0,1,0,0,26.4,16.8,7.8,11.9,51.5,188,57,131,30.3,146,214,"Dunning",NA,"YES","Beak Culmen; Beak Nares","Accipiter imitator","Forest","1","1","Carnivore","Vertivore","Insessorial"
"25",25,"Accipiter madagascariensis","Accipitridae","Accipitriformes","AVIBASE-5D673E3E",4,2,2,0,4,19.7,10.7,7.4,9.4,58,190.8,54.5,136.2,28.7,149.5,180.4,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"26",26,"Accipiter melanochlamys","Accipitridae","Accipitriformes","AVIBASE-1F0322E5",5,2,3,0,4,25.9,15.6,11,13.9,62.7,228.6,75,156.2,32.4,164.8,265,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Generalist"
"27",27,"Accipiter melanoleucus","Accipitridae","Accipitriformes","AVIBASE-819AB823",5,2,3,0,4,29.6,18,10.3,16.3,75.8,302.8,107.2,200.8,35,219.4,699,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Generalist"
"28",28,"Accipiter meyerianus","Accipitridae","Accipitriformes","AVIBASE-87B94C0E",2,1,1,0,2,35,20.6,12.6,18.6,75.4,309.5,102,207.5,33,200,763.5,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Generalist"
"29",29,"Accipiter minullus","Accipitridae","Accipitriformes","AVIBASE-CE1CF6FD",5,3,2,0,5,16.5,9.2,6.6,8.8,41.3,150.4,44.6,105.8,29.6,105.2,87.4,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Generalist"
"30",30,"Accipiter nanus","Accipitridae","Accipitriformes","AVIBASE-7F1573CA",2,0,2,0,1,17.6,10.6,7.6,10.1,46.6,152.4,44.9,107.5,29.5,109,117,"Inferred",NA,"YES","Body Mass","Accipiter virgatus","Forest","1","1","Carnivore","Invertivore","Insessorial"
"31",31,"Accipiter nisus","Accipitridae","Accipitriformes","AVIBASE-DB376A66",19,6,13,0,10,19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,35.5,155.5,220.8,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Insessorial"
"32",32,"Accipiter novaehollandiae","Accipitridae","Accipitriformes","AVIBASE-CFB9E213",8,5,3,0,7,31.6,19.9,11.5,16.5,69,261.9,76,188.3,28.9,183.6,326.1,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"33",33,"Accipiter ovampensis","Accipitridae","Accipitriformes","AVIBASE-BAE91683",5,2,3,0,4,20.5,11.2,7.5,10.3,49.4,222.4,86.2,138.5,38.4,155,195,"Dunning",NA,"NO",NA,NA,"Shrubland","2","1","Carnivore","Vertivore","Aerial"
"34",34,"Accipiter poliocephalus","Accipitridae","Accipitriformes","AVIBASE-435FF493",4,2,2,0,4,25,15.4,10.1,13.7,60.3,210.5,67.8,142.8,32.1,157.2,214.8,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"35",35,"Accipiter poliogaster","Accipitridae","Accipitriformes","AVIBASE-707547BB",5,2,3,0,3,27.7,14.9,8,13.2,52.4,240.4,72.6,172.2,29.6,174.6,315,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Insessorial"
"36",36,"Accipiter princeps","Accipitridae","Accipitriformes","AVIBASE-B202721E",2,1,1,0,2,33.6,22.2,13.8,17.8,68,266.3,77.8,188.5,29.2,192.3,214.8,"Inferred",NA,"YES","Body Mass","Accipiter poliocephalus","Forest","1","1","Carnivore","Vertivore","Insessorial"
"37",37,"Accipiter rhodogaster","Accipitridae","Accipitriformes","AVIBASE-C638D858",5,2,3,0,4,20.5,11.8,7.9,10.8,53.4,172.6,51.6,122.4,29.7,125.8,172.7,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
